NAMESPACE,POD,CONTAINER,WHOAMI,ID
gpu-operator,chart-1747661706-node-feature-discovery-worker-68slm,worker,"",""
gpu-operator,chart-1747661706-node-feature-discovery-worker-djkx2,worker,"",""
gpu-operator,chart-1747661706-node-feature-discovery-gc-84d859fcd9-7dmh8,gc,"",""
gpu-operator,chart-1747661706-node-feature-discovery-worker-jk277,worker,"",""
gpu-operator,chart-1747661706-node-feature-discovery-worker-kx58j,worker,"",""
gpu-operator,chart-1747661706-node-feature-discovery-worker-lggj2,worker,"",""
gpu-operator,chart-1747661706-node-feature-discovery-worker-tv2j6,worker,"",""
gpu-operator,gpu-feature-discovery-d5qqg,gpu-feature-discovery,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,gpu-feature-discovery-8m2kx,gpu-feature-discovery,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,gpu-operator-699587c8fd-2lt8r,gpu-operator,"gpu-operator","uid=1000(gpu-operator) gid=1000(gpu-operator) groups=1000(gpu-operator)"
gpu-operator,iscsi-test-pod,app,"root","uid=0(root) gid=0(root) groups=0(root),10(wheel)"
gpu-operator,iscsi-test-pod2,app,"root","uid=0(root) gid=0(root) groups=0(root),10(wheel)"
gpu-operator,iservice-deployment-7cf55d8777-ppwbn,iservice,"appuser","uid=1000(appuser) gid=1000(appuser) groups=1000(appuser)"
gpu-operator,gpu-feature-discovery-hnq5l,gpu-feature-discovery,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,gpu-feature-discovery-kfhnv,gpu-feature-discovery,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,gpu-feature-discovery-2rb4b,gpu-feature-discovery,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,nvidia-container-toolkit-daemonset-ckb8t,nvidia-container-toolkit-ctr,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,nvidia-container-toolkit-daemonset-x99r6,nvidia-container-toolkit-ctr,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,nvidia-dcgm-exporter-fdf7h,nvidia-dcgm-exporter,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,nvidia-dcgm-exporter-sskvp,nvidia-dcgm-exporter,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,nvidia-container-toolkit-daemonset-v9vpx,nvidia-container-toolkit-ctr,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,nvidia-container-toolkit-daemonset-wntjp,nvidia-container-toolkit-ctr,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,nvidia-dcgm-exporter-b2wh2,nvidia-dcgm-exporter,"root","uid=0(root) gid=0(root) groups=0(root)"
